식당명,식당주소,식당위도,식당경도
돈이랑 성산점,제주특별자치도 서귀포시 성산읍 일출로 30,33.44748278,126.9160022
돈지식당,제주 서귀포시 대정읍 하모항구로 60,33.21874894,126.2509085
돈파스타정원,제주 제주시 애월읍 고내리 344-2번지,33.47289493,126.347498
돈풍 노형흑돼지,제주특별자치도 제주시 원노형로 23,33.4868444,126.4850796
돈풍년,제주 제주시 승천로 68,33.4925795,126.5423967
돌담너머바다 & 현무암닭강정,제주 제주시 테우해안로 44-1 야무진밥&샵인샵 현무암닭강정,33.4957157,126.4397957
돌카롱 제주공항점,제주특별자치도 제주시 서광로2길 27-2,33.49851101,126.5136475
돌카롱 중문점,제주특별자치도 서귀포시 중문로41번길 8,33.2557237,126.4243026
돗통,제주 서귀포시 안덕면 사계북로41번길 189,33.24938618,126.2978425
동귀리갈칫집,제주 제주시 월랑로 83,33.49195908,126.4722645
동남식당,제주 서귀포시 성산읍 고성오조로 86,33.45128073,126.914633
동도원 중문점,제주특별자치도 서귀포시 이어도로 189,33.23963438,126.4417404
동뜬식당,제주 서귀포시 성산읍 일출로 272-1,33.46190169,126.9343478
동백국수,제주 제주시 신성마을길 63,33.49847305,126.4866021
동백부엌,제주특별자치도 제주시 서해안로 150,33.50303849,126.4654284
동백정원,제주 서귀포시 이어도로343번길 117,33.24963573,126.4463751
동복해녀식당 구좌본점,제주특별자치도 제주시 구좌읍 동복로 5,33.55347257,126.7069472
동빵 제주동문시장점,제주특별자치도 제주시 오현길 78-11,33.51210768,126.5259177
동성식당,제주 서귀포시 대정읍 신영로 92,33.22053332,126.2527822
동완식당,제주 서귀포시 중앙로 81,33.25191579,126.5609278
동진식당 공항점,제주특별자치도 제주시 용화로 51-1,33.50970168,126.5093347
동해미락,제주 서귀포시 칠십리로 133,33.24366917,126.5682305
동해수산회센타,제주 제주시 동문로4길 9-8,33.51194518,126.5279762
동해식당,제주 제주시 조천읍 신북로 486,33.54305543,126.6619901
동환식당,제주 서귀포시 법환하로 49,33.23637634,126.5130099
두리둠비 제주서귀포본점,제주 서귀포시 중문관광로 16 1층,33.25671543,126.4146931
듀포레,제주특별자치도 제주시 서해안로 579,33.51852289,126.5001034
떠돌이식객,제주 서귀포시 성산읍 신고로22번길 37,33.4369719,126.9208443
뚱딴지 애월본점,제주특별자치도 제주시 애월읍 부룡수길 17,33.47457721,126.3548177
뜰채,제주 서귀포시 신동로67번길 100-3,33.25979202,126.5138474
라이크에그,제주 서귀포시 막숙포로 96,33.23398632,126.512192
랜딩커피,제주 서귀포시 성산읍 신양로122번길 45-1,33.43558489,126.9189473
러디스 서귀포본점,제주특별자치도 서귀포시 월드컵로 202,33.23180809,126.5056311
레이식당,제주특별자치도 제주시 구좌읍 송당5길 18,33.47314615,126.7850939
로그릭 중문점,제주특별자치도 서귀포시 천제연로 183,33.25188829,126.4241281
